,g_otherprim,g_energy,g_procfoods
522,0.3658,0.2835,2.8195
523,0.3864,0.7393,0.9941
524,0.2743,0.2593,0.7718
525,0.619,0.7172,1.7596
526,0.2043,0.3535,0.5815
527,0.0905,0.2187,0.1863
528,0.481,1.5638,1.1095
529,0.2067,0.2171,0.6762
530,0.3129,0.4724,1.3156
531,0.9764,2.5676,2.8882
532,1.4346,1.1976,3.9967
533,2.0206,2.5019,6.2985
534,0.9174,1.0887,2.857
535,1.4042,3.0877,4.5789
536,0.5745,0.6062,1.9252
537,1.846,3.1357,6.4897
538,0.5429,0.6935,2.4505
539,0.7902,0.5296,2.303
540,0.6988,0.6272,708.769
541,543.431,5.305,59.3095
542,7.6422,319.833,76.5757
543,1.5393,1.412,1683.7
544,0.1318,0.2373,7.6863
545,0.1682,0.1124,1.0142
546,0.2862,0.1757,2.3826
547,0.0711,0.0444,0.6785
548,0.5253,2.7243,10.7364
549,3.4127,17.1235,148.777
550,2.5776,4.6047,64.6122
551,0.5328,0.7566,9.1569
552,0.646,3.4707,11.2523
553,1.0979,3.6696,14.3957
554,0.7497,0.5044,4.6778
555,3.8654,6.3352,32.526
556,0.1558,0.1258,1.6497
557,0.4406,0.8358,8.5923
558,1.5227,3.6063,22.5532
559,17.0119,11.3123,144.397
560,11.6946,16.4133,260.712
561,2.5415,3.7138,42.1382
562,18.6298,11.2019,86.0255
563,4.7773,2.8779,22.5104
564,13.3944,16.8552,186.618
565,0.8639,2.0262,32.1788
566,3.3601,7.819,90.2409
567,6.0589,-6.307,10311.9
568,1904.23,-3.7322,341.744
569,65.749,-4047.68,1272.0
570,1.8722,-7.3302,30217.0
571,0.6711,-3.1567,144.787
572,1.8259,-0.422,14.2009
573,0.2656,-0.3871,8.5465
574,0.2272,-0.1136,3.3524
575,4.0605,-1.0131,20.7309
576,8.5336,-40.9773,1283.47
577,19.7621,-16.9701,1268.91
578,2.4815,-24.7808,221.187
579,5.3152,-13.3319,93.8087
580,8.2084,-36.1732,652.875
581,1.9494,-2.5108,57.8493
582,23.342,-67.3459,345.568
583,5.807,-5.7846,83.5644
584,3.0699,-8.9367,197.811
585,4.9347,-121.251,153.839
586,112.556,-104.993,9990.38
587,36.7417,-113.616,1769.5
588,12.3161,-92.5554,915.87
589,7.5056,-28.4674,332.839
590,0.2627,-0.2597,6.1795
591,109.829,-749.025,8963.67
592,19.1824,-128.564,994.562
593,0.4328,-1.6535,24.6423
594,2.7096,3.6171,4695.66
595,553.408,0.9702,296.086
596,136.255,4611.99,1705.87
597,13.7949,16.9304,25283.9
598,0.1917,1.0392,75.3242
599,5.2479,2.9059,69.9276
600,0.644,1.1244,25.4095
601,0.1485,0.7254,14.0176
602,0.7612,2.3371,43.177
603,9.6355,55.3223,1573.79
604,13.2178,40.9518,2010.44
605,2.4122,4.4498,242.108
606,2.7936,19.2571,172.04
607,3.6388,26.2347,895.082
608,13.5194,28.5679,102.055
609,14.337,116.173,542.384
610,1.3064,4.0199,37.8132
611,0.5842,6.8796,168.809
612,7.3629,11.3055,301.997
613,33.5018,209.945,3015.55
614,32.4376,163.499,2150.74
615,9.6967,66.209,818.625
616,21.7712,160.206,2966.13
617,6.646,18.3721,272.069
618,40.2458,225.925,4711.74
619,9.9867,17.914,271.752
620,25.712,60.4762,1164.85
621,49.3786,-0.2292,2194.05
622,9889.2,-0.5484,35.6871
623,133.469,-149.873,82.0261
624,16.0518,-0.0555,1422.15
625,1.2135,-0.0315,2.0596
626,24.7574,-0.0475,3.0166
627,35.4245,-0.0686,4.3634
628,6.8227,-0.0042,1.4482
629,7.3309,-0.0549,2.8495
630,52.9236,-1.2855,67.0351
631,107.236,-2.1082,220.249
632,27.3852,-4.6804,18.9769
633,7.9022,-0.319,3.1074
634,100.474,-0.4477,19.2048
635,37.3381,-0.2219,11.3384
636,72.4594,-1.207,42.3131
637,10.8714,-0.2908,12.9281
638,8.3712,-3.547,9.588
639,11.4911,-0.4086,22.87
640,100.238,-10.0793,500.092
641,79.2515,-2.0233,76.6666
642,118.305,-3.5202,62.1886
643,3327.42,-70.5457,1112.21
644,1014.44,-11.287,180.214
645,41.6797,-1.2213,45.7184
646,384.22,-7.3386,164.838
647,7.7405,-0.1095,27.0146
648,0.0807,0.0407,18.3391
649,151.868,0.087,8.9291
650,0.7581,398.687,19.3096
651,0.0634,0.0294,1271.43
652,0.0802,0.025,2.5472
653,0.0308,0.0097,11.2931
654,0.0176,0.0103,0.7766
655,0.0018,0.002,0.0356
656,0.0096,0.0028,0.5441
657,0.291,0.0978,25.5453
658,0.3197,0.1582,19.4241
659,0.0318,0.0042,0.6902
660,0.0169,0.0024,1.0699
661,0.072,0.0196,46.416
662,0.5981,0.138,4.596
663,0.2654,0.0813,2.6288
664,0.008,0.0045,0.2601
665,0.2176,0.0332,7.1391
666,0.8767,0.0476,3.2165
667,10.281,4.4781,353.155
668,19.5792,5.7039,159.992
669,0.978,0.223,17.1445
670,2.2413,0.4883,35.7587
671,0.5588,0.0852,6.1929
672,7.393,0.8038,71.4088
673,1.6049,0.1499,15.2462
674,0.0111,0.0208,0.2342
675,8.3001,-0.1217,188.498
676,104.911,-0.0203,13.3301
677,0.394,-9.4401,1.6904
678,3.6928,-0.1268,457.911
679,1.0452,-0.0016,1.5955
680,0.024,-0.0003,0.0562
681,0.4994,-0.0215,0.7482
682,0.1157,-0.0007,0.0504
683,0.4861,-0.0168,1.9392
684,1.1065,-0.0722,6.3396
685,0.7828,-0.0275,2.7271
686,0.9309,-0.0677,3.3954
687,0.0306,-0.0037,0.2819
688,0.8968,-0.0629,2.985
689,0.5373,-0.036,1.5072
690,0.6649,-0.098,2.5389
691,0.6063,-0.0311,2.0802
692,2.082,-0.1084,6.483
693,9.8333,-1.0478,25.9342
694,16.7478,-2.5491,116.489
695,8.5295,-1.4726,32.1788
696,2.9374,-0.3475,10.4412
697,0.0084,-0.001,0.0497
698,0.0015,-0.0002,0.0079
699,2.7172,-0.3679,18.0521
700,1.87,-0.0979,6.9075
701,1.2263,-0.098,5.8579
702,11.5351,0.6055,775.852
703,95.8322,0.3035,4.0899
704,6.8546,76.1607,61.9529
705,2.4418,0.149,718.24
706,0.1619,0.0285,1.6305
707,0.2483,0.1507,6.2582
708,0.2914,0.0998,3.7109
709,0.1512,0.0462,2.1006
710,0.1804,0.1032,3.6214
711,0.7827,0.4012,16.2757
712,4.0637,5.562,52.3433
713,0.9408,0.4323,8.8113
714,0.5251,0.285,5.9153
715,1.0685,0.5485,10.9546
716,0.3836,0.4578,4.7363
717,0.5483,0.6947,6.3603
718,0.1223,0.0669,1.7497
719,0.5387,0.7991,6.2429
720,0.5808,0.601,7.3828
721,10.9452,2.7726,173.907
722,4.4554,2.8945,46.347
723,2.9246,1.671,44.7043
724,2.1432,1.6625,36.4703
725,0.2808,0.2175,4.7762
726,8.7734,6.2318,134.889
727,1.0636,0.4849,11.7675
728,4.6364,2.1736,52.8919
729,33.5098,31.2012,10104.7
730,3438.34,37.3868,1079.11
731,147.465,10869.7,682.353
732,23.3215,12.2493,10696.6
733,2.4549,2.8988,10.3278
734,3.5758,8.0405,29.805
735,0.2844,3.0425,2.4737
736,0.4561,0.6609,0.66
737,2.1418,2.9465,19.8043
738,5.741,14.177,51.3639
739,19.4962,50.4589,398.984
740,1.2704,2.5215,10.4086
741,2.9582,4.5801,18.1559
742,4.1033,3.7408,49.0708
743,34.1124,34.2757,125.699
744,24.7396,59.1256,96.5911
745,0.9629,0.7088,3.4553
746,0.965,3.2832,12.3304
747,11.3028,23.572,63.5391
748,58.7226,207.209,1477.67
749,77.542,114.225,942.681
750,9.5037,36.0416,109.484
751,29.7508,132.241,395.012
752,5.4297,14.9888,53.125
753,83.2917,261.114,445.713
754,17.7096,20.6102,61.6201
755,2.0248,8.1832,26.0008
756,45.9875,21.596,8750.13
757,7839.22,8.825,447.079
758,532.195,1563.43,1109.47
759,2.4413,0.5912,3688.89
760,0.6914,0.1675,45.5439
761,15.4139,2.0146,77.1795
762,26.4846,0.4344,12.8991
763,0.2626,0.1147,1.4637
764,8.0544,2.2579,39.1753
765,9.5786,5.0287,126.964
766,22.266,9.6554,263.17
767,5.463,5.798,31.038
768,21.1762,10.9369,78.4396
769,0.9515,1.7287,3.5748
770,51.1865,10.4909,50.9864
771,21.1685,21.3781,71.274
772,39.5563,14.6339,130.727
773,2.6523,5.6926,14.2494
774,43.153,29.9086,119.776
775,167.725,160.882,1810.51
776,113.817,145.63,607.903
777,19.7649,13.4225,80.809
778,64.4835,89.8852,464.484
779,19.4144,21.3573,164.608
780,52.9606,21.6043,192.956
781,17.6159,7.1698,64.6802
782,28.5194,3.4964,16.9081
783,4.0737,0.0517,1621.99
784,196.122,0.011,39.8394
785,11.1607,86.4166,125.367
786,3.2413,0.0482,2080.4
787,0.446,0.0146,3.5721
788,0.123,0.0009,0.3463
789,0.1017,0.0008,0.3426
790,0.0135,0.0001,0.0202
791,0.0476,0.0024,0.1721
792,1.0079,0.2056,98.6093
793,2.3687,0.2704,75.54
794,1.8028,4.2601,37.5597
795,0.1132,0.0306,1.2537
796,0.5492,0.1722,23.6634
797,1.7706,0.0755,26.8779
798,1.536,0.1383,8.1334
799,0.6621,0.1596,6.166
800,0.3065,1.1396,10.0824
801,4.6759,3.0014,84.7573
802,6.5226,2.2308,445.693
803,1.5556,0.218,53.1667
804,2.2132,1.0955,71.4817
805,13.7958,2.9015,241.708
806,13.535,2.7389,230.697
807,1.11,0.3155,21.7878
808,17.5561,3.2122,210.544
809,23.0335,4.3997,284.696
810,2.4092,-2.1781,10129.6
811,2253.13,-2.715,87.1735
812,97.9583,-5073.09,872.301
813,1.6582,-1.77,15670.5
814,0.6265,-0.7618,53.8448
815,6.9929,-0.1901,7.5797
816,1.0026,-0.5533,16.913
817,0.3517,-0.0848,4.2542
818,2.0392,-0.4865,12.7565
819,14.5704,-13.4612,549.252
820,44.7333,-19.3921,565.496
821,15.6347,-7.0261,156.673
822,11.9159,-14.3028,122.513
823,30.1553,-31.9075,260.899
824,1.8023,-1.6097,44.1092
825,33.0606,-63.1105,134.815
826,1.9478,-2.3505,69.9547
827,1.9844,-15.1987,71.4085
828,12.0528,-39.6156,189.777
829,90.3201,-83.3902,3967.82
830,88.5722,-116.969,1835.73
831,28.346,-61.8321,308.717
832,70.7331,-133.63,1068.93
833,3.4045,-1.9037,24.295
834,216.624,-237.874,2804.88
835,10.3084,-16.47,381.693
836,0.6182,-1.4406,13.2026
837,19.2768,2.4163,22716.8
838,2200.48,6.9094,4913.63
839,303.361,3086.29,4393.31
840,36.0689,2.1046,50581.4
841,5.5538,1.4775,254.757
842,11.5205,1.6411,112.028
843,11.178,3.7184,262.579
844,1.6795,0.4336,11.0187
